from,name,distance,azimuth,inclination,left,right,up,down,note
6,11,14.2,2/182,1/-1.7,2,0/5.5,2.3,2,Assuming tie-in is peg in ceiling
11,12,20.5,334/153,53/-55,2,0/2,2,2.5/15,
12,13,11.1,323/144,10/-8.6,0,1.5,4/7,1.5,
13,14,4.7,9/190,11/-11.1,1.5,1,0/6.7,3.3,
14,15,9.9,9/188,53/-52,1,0,2,5,
15,16,5.9,28,51,1,0,43470,43530,
16,17,4.4,295/115,.1/-.1,0,3,1/2,1/2,
17,17a,13.7,74,47,,,,,terminal shot
17,18,2.5,35.2,-12,0,3,3,5/33,station is bolt over pit
18,18a,33,0,-90,,,,,terminal tape measurement down pit
18,19,9.2,20,10,4,0,2,1,azi and incl fudged
19,19a,10,85,65,,,,,terminal shot
